device,0.0,1.5,4.5,9.0,18.0,30.0,
Backofen und Herd,19.1,16.7,17.2,17.5,15.6,11.8,2.2
Bürogeräte,22.8,14.8,14.5,14.5,13.4,18.0,1.9
Fernseher und Entertainment-Systeme,18.3,11.6,12.1,16.7,15.6,24.2,1.6
Geschirrspüler,6.2,11.8,9.9,15.1,18.0,37.1,1.9
Waschmaschine,7.5,9.7,9.4,14.8,20.7,36.0,1.9
