date;offset_h;duration_h;offered_compensation_pct;final_participation_rate_pct;total_jasm_load_in_event_mwh;total_dispatched_energy_mwh;avg_dispatched_power_mw;avg_srl_price_in_event_chf_kwh;avoided_srl_costs_chf;compensation_chf_per_hh;total_compensation_ch;net_benefit_chf_total
2024-12-30;2.0;4.0;0.0;30.376344086021508;666.434106417625;202.43831727202053;50.60957931800513;0.3888891596016433;56307.122077449174;0.0;0.0;56307.122077449174
2024-12-30;1.5;4.0;0.0;30.376344086021508;676.09715039775;205.37359676060686;51.343399190151715;0.3626340351870918;55410.216244286625;0.0;0.0;55410.216244286625
2024-12-30;1.5;3.5;0.0;30.376344086021508;640.0347878828749;194.41916943754003;55.548334125011436;0.3928951319245777;53730.72301858208;0.0;0.0;53730.72301858208
2024-12-30;2.0;3.5;0.0;30.376344086021508;607.5418785876249;184.54901150645603;52.72828900184458;0.4215192329576242;53436.27050834755;0.0;0.0;53436.27050834755
2024-12-30;1.5;3.0;0.0;30.376344086021508;581.142560052875;176.5298636719755;58.8432878906585;0.43163121289371104;50859.87144948045;0.0;0.0;50859.87144948045
2024-12-30;1.0;4.0;0.0;30.376344086021508;668.31219049225;203.00881055275337;50.75220263818834;0.2791666279021046;50785.275492795685;0.0;0.0;50785.275492795685
2024-12-30;1.0;3.5;0.0;30.376344086021508;655.0796932924999;198.9892616721842;56.8540747634812;0.29718697128319055;50170.18714357392;0.0;0.0;50170.18714357392
2024-12-30;1.0;3.0;0.0;30.376344086021508;619.0173307776249;188.03483434911732;62.67827811637244;0.32158374015960706;48490.693917869365;0.0;0.0;48490.693917869365
2024-12-30;2.0;3.0;0.0;30.376344086021508;504.85169315762494;153.3554874376657;51.11849581255523;0.458156904788821;46646.842648144295;0.0;0.0;46646.842648144295
2024-12-30;1.0;2.5;0.0;30.376344086021508;560.125102947625;170.1455285835528;68.05821143342112;0.35380475896957303;45619.842348767736;0.0;0.0;45619.842348767736
2024-12-30;1.5;2.5;0.0;30.376344086021508;478.452374622875;145.33633960318517;58.134535841274065;0.47761881507836457;44070.443589277194;0.0;0.0;44070.443589277194
2024-12-30;0.5;4.0;0.0;30.376344086021508;612.92105131125;186.18300752196572;46.54575188049143;0.19602517678710263;42258.38657833198;0.0;0.0;42258.38657833198
2024-12-30;0.5;3.5;0.0;30.376344086021508;601.0049683346249;182.56333715541032;52.16095347297438;0.202262491310179;41708.324687868095;0.0;0.0;41708.324687868095
2024-12-30;0.5;3.0;0.0;30.376344086021508;587.7724711348749;178.5437882748411;59.5145960916137;0.21046886915612495;41093.23633864632;0.0;0.0;41093.23633864632
2024-12-30;0.5;2.5;0.0;30.376344086021508;551.7101086199999;167.5893609517742;67.03574438070969;0.22240137138241164;39413.74311294176;0.0;0.0;39413.74311294176
2024-12-30;1.0;2.0;0.0;30.376344086021508;457.434917517625;138.95200451476245;69.47600225738123;0.39183264821935543;38830.41448856448;0.0;0.0;38830.41448856448
2024-12-30;0.5;2.0;0.0;30.376344086021508;492.81788079;149.70005518620968;74.85002759310484;0.23788205270057028;36542.89154384013;0.0;0.0;36542.89154384013
2024-12-30;2.0;2.5;0.0;30.376344086021508;358.363550127625;108.85774506564954;43.54309802625981;0.499367017952505;35428.67972628722;0.0;0.0;35428.67972628722
2024-12-30;0.0;4.0;0.0;30.376344086021508;509.9237328547501;154.89618766824395;38.72404691706099;0.1848215687577231;34346.41158462012;0.0;0.0;34346.41158462012
2024-12-30;0.5;1.5;0.0;34.946236559139784;390.12769535999996;136.33494730322582;90.88996486881722;0.24994500294394592;34229.648485599944;0.0;0.0;34229.648485599944
2024-12-30;0.0;3.5;0.0;30.376344086021508;499.3240641012501;151.67639581570234;43.33611309020067;0.1892200094403622;33850.45904767698;0.0;0.0;33850.45904767698
2024-12-30;0.0;3.0;0.0;30.376344086021508;487.40798112462505;148.05672544914688;49.352241816382296;0.19536268182616123;33300.39715721308;0.0;0.0;33300.39715721308
2024-12-30;1.5;2.0;0.0;30.376344086021508;331.964231592875;100.83859723116902;50.41929861558451;0.5339969341053554;32852.28066742012;0.0;0.0;32852.28066742012
2024-12-30;0.0;2.5;0.0;30.376344086021508;474.17548392487504;144.03717656857765;57.61487062743106;0.20383037334449278;32685.308807991307;0.0;0.0;32685.308807991307
2024-12-30;0.0;1.5;0.0;34.946236559139784;379.22089358;132.52343055215056;88.3489537014337;0.2359556208626651;32367.65771428378;0.0;0.0;32367.65771428378
2024-12-30;1.0;1.5;0.0;34.946236559139784;310.946774487625;108.66419538546036;72.44279692364024;0.43840808463567366;31766.307112141258;0.0;0.0;31766.307112141258
2024-12-30;0.0;2.0;0.0;30.376344086021508;438.11312141;133.08274924551077;66.54137462275538;0.21708637717444312;31005.815582286756;0.0;0.0;31005.815582286756
2024-12-30;1.5;1.5;0.0;34.946236559139784;201.92166647287502;70.56402322976814;47.04268215317876;0.6273068049247569;26143.698820516736;0.0;0.0;26143.698820516736
2024-12-30;2.0;2.0;0.0;30.376344086021508;228.320985007625;69.35556802650974;34.67778401325487;0.5606919420288434;25301.30649516242;0.0;0.0;25301.30649516242
2024-12-30;-0.5;4.0;0.0;30.376344086021508;392.3774244298751;119.18991656068783;29.79747914017196;0.1717663895841295;24785.58672604749;0.0;0.0;24785.58672604749
2024-12-30;0.0;1.0;0.0;34.946236559139784;276.53070815;96.63707542876345;96.63707542876345;0.253086830308776;24556.811503430472;0.0;0.0;24556.811503430472
