device,count,mean,std,min,25%,50%,75%,max
Backofen und Herd,33.0,21.85,23.94,2.0,10.0,10.0,25.0,100.0
Bürogeräte,28.0,21.86,20.34,1.0,10.0,15.0,30.0,100.0
Fernseher und Entertainment-Systeme,41.0,23.49,22.27,2.0,10.0,15.0,30.0,100.0
Geschirrspüler,45.0,20.16,18.6,2.0,10.0,10.0,25.0,100.0
Waschmaschine,40.0,26.32,22.86,4.0,10.0,20.0,40.0,100.0
