month,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
1,31597.317393927005,143700.3551390341,6088.060063837461,61737.33890397072,54807.1919415,161287.1251227569,32986.759067337094,315851.1754343011,112917.08837,18609.1948441569,27297.966636506873,52639.67836653289,70928.3962667627
2,31149.955827009195,140916.8585126437,6055.410682152355,62001.11137060784,54807.191941499994,161833.4824701388,32986.7590673371,315851.1754343011,112917.08836999998,18509.396435752984,27151.571609389932,53201.63670867933,71643.16949879754
3,31402.4321158397,144920.5156493425,5821.6713345271255,75056.45026714714,54807.1919415,97945.03950158384,32986.759067337094,315851.1754343011,112917.08837,17794.932219681443,26103.51872275366,58309.00037017745,71918.07030834358
4,31216.126395861826,145888.7043028406,5866.709538475466,76772.03133067004,54807.19194150001,103242.17485614105,32986.759067337094,315851.1754343011,112917.08837,17932.599178930162,26305.46341159568,61530.64855679449,74565.27384563394
5,32539.554540861813,150237.6576696916,6177.087324661914,79382.51519556573,54807.1919415,107216.74976056945,32986.759067337094,315851.1754343011,112917.08837,18881.321864739333,27697.151792737786,62813.44931501329,75831.35139980835
6,26263.08322813889,142091.9211022933,5494.093993598566,70737.64270732706,54807.19194150001,92919.77869838243,32986.759067337094,315851.1754343011,112917.08837,16793.636158969177,24634.710067775086,67089.78741057529,81577.37336381219
7,26636.34044529941,140012.2905295163,5349.367455116589,72944.88894478753,54807.1919415,93775.09861260215,32986.759067337094,315851.1754343011,112917.08837,16351.254786986994,23985.777537448987,63363.58501055358,77961.85303615147
8,26348.952340013733,140313.02494758315,5349.4844184652275,71693.70762708731,54807.1919415,91518.44916514224,32986.759067337094,315851.1754343011,112917.08837,16351.612305288649,23986.30198254583,64862.631032133955,79624.37054940918
9,9105.829259703172,147472.76931831846,5796.564755535645,77296.38075389486,54807.19194150001,144588.5257536623,32986.759067337094,315851.1754343011,112917.08837,17718.189675228117,25990.9445120246,58700.94544567223,71670.81755676732
10,7899.771605532978,144348.9587788172,5655.686749486811,76880.72066475193,54807.1919415,145604.24124974138,32986.759067337094,315851.1754343011,112917.08837,17287.572001318156,25359.26823777105,60745.89746223421,72487.49131251842
11,9120.783299968387,141538.7159691405,5719.144398571425,76186.2359452711,54807.19194150001,145194.1128373107,32986.759067337094,315851.1754343011,112917.08837,17481.541137537177,25643.80300917855,60260.192942272144,70393.69569090549
12,31403.24036787007,146692.85768033066,6091.729780242542,61710.570918266225,54807.1919415,165202.556417609,32986.759067337094,315851.1754343011,112917.08837,18620.4119581043,27314.42110544688,53420.80953430065,70224.45408638871
