month,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
1,36274.074389781475,127731.99030882327,5370.730830508672,56341.978426060356,73771.96293,227798.2425946965,30423.573038709677,251739.2843784946,124357.3454,23631.215654141866,35804.87220233194,68256.1599017676,67808.48077835623
2,35693.867856021505,125269.52888187404,5335.495232286483,56581.71668227189,73771.96293,229340.9717667742,30423.573038709677,251739.28437849463,124357.34540000002,23476.179022320277,35569.968217815665,68960.23233465591,68523.3505569186
3,35865.74109084426,128701.33517829968,5118.973487994451,68467.93771453573,73771.96293,139023.9299893479,30423.573038709677,251739.2843784946,124357.3454,22523.483348408605,34126.48992094763,75712.88482380696,68919.15711313476
4,35754.19408587312,129615.76571621254,5168.16020348853,70072.86806388745,73771.96293,146456.82367800717,30423.573038709677,251739.28437849463,124357.3454,22739.904897080643,34454.40135832939,79747.93510088531,71333.6337518233
5,37230.45886931634,133106.10586760318,5408.712495039022,72137.07713624697,73771.96293,150969.4454532605,30423.573038709677,251739.2843784946,124357.3454,23798.334977585502,36058.08329953902,81038.2661677624,72276.06927393634
6,30165.541780171327,126129.5829533699,4834.416730626165,64839.358924896056,73771.96293,132053.02522107886,30423.573038709677,251739.28437849463,124357.3454,21271.43361640179,32229.44487358136,86472.93889922151,77673.1924348104
7,30508.618332010752,124394.82778062574,4712.4180622780095,66579.6839045699,73771.96293,133027.06090521504,30423.573038709677,251739.2843784946,124357.3454,20734.63947318002,31416.120417870967,82123.54629236212,74583.00605933282
8,30194.457485997922,124704.41391017464,4716.276457212973,65488.90758427471,73771.96293,130064.48891783385,30423.573038709677,251739.2843784946,124357.3454,20751.616410828996,31441.843048072842,84146.05504273916,76209.861900577
9,9304.99963166559,131058.86049214266,5098.534617102509,70537.01596404122,73771.96293,205466.79829721505,30423.573038709677,251739.28437849463,124357.3454,22433.55231585018,33990.23078066953,76174.62436893082,68657.88827728566
10,10141.070461434616,128378.49764885865,4976.388297926812,70257.42247424697,73771.96293,206320.95983202566,30423.573038709677,251739.2843784946,124357.3454,21896.108511599723,33175.921989177594,78892.28276158065,69568.43423809418
11,10446.7239844,125750.99035958547,5038.165650611828,69538.1894561715,73771.96293,205968.81664353763,30423.573038709677,251739.28437849463,124357.3454,22167.928861933873,33587.771003916125,78101.33760469247,67342.8507411258
12,35988.71863508047,130264.49591163112,5369.702669874436,56355.30973486611,73771.96293,235039.6460629934,30423.573038709677,251739.2843784946,124357.3454,23626.69174640028,35798.01779784947,69201.24100800278,67139.2258969785
