month,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
1,31599.94677619035,143700.74445998942,6088.440776151024,61737.92532724292,54807.1919415,161293.5959572183,32986.759067337094,315851.1754343011,112917.08837,18610.358556331852,27299.673694569396,52642.21016172423,70934.06739063973
2,31143.55545379101,140913.62591820015,6054.861563245968,61935.78180690012,54807.191941499994,161816.10004504432,32986.7590673371,315851.1754343011,112917.08837000001,18507.71796007538,27149.109440910128,53174.30702548123,71584.80879832183
3,31362.03232895957,144720.1865875849,5813.88046506072,74958.52734178779,54807.1919415,97838.77366567623,32949.50136640111,315783.13273096294,112917.08837,17771.118097221533,26068.585608997088,58228.51934642132,71821.51876309303
4,31216.24512644759,145888.7119483393,5866.727557486434,76772.08044090471,54807.1919415,103242.56140765514,32986.759067337094,315851.1754343011,112917.08837,17932.65425711594,26305.544206193474,61530.65829670121,74565.31928379432
5,32537.968324880807,150244.16068020515,6177.093388410544,79377.77893757305,54807.1919415,107247.95669099977,32986.759067337094,315851.1754343011,112917.08837,18881.340399620978,27697.178981694953,62812.57313355851,75821.5357799795
6,26264.866694052293,142090.10457762,5494.350118895887,70741.58484909697,54807.1919415,92906.25261812087,32986.759067337094,315851.1754343011,112917.08837,16794.419049664837,24635.858495970584,67089.14973460653,81581.74729540963
7,26637.629849220684,140012.61036328488,5349.574776155081,72945.37332402238,54807.1919415,93780.17964335096,32986.759067337094,315851.1754343011,112917.08837,16351.888499130133,23986.707134515553,63363.61554765722,77962.06467800234
8,26347.722003035262,140309.57213908722,5348.6566463263525,71701.96968011661,54807.1919415,91531.200841217,32986.759067337094,315851.1754343011,112917.08837,16349.08207844439,23982.590373929215,64864.395041884934,79628.47997190272
9,9079.366198938396,147474.3924583782,5797.321835526514,77289.47510325158,54807.1919415,144554.46171760556,32986.759067337094,315851.1754343011,112917.08837,17720.50381945128,25994.339147437026,58699.61682649664,71671.11939974317
10,7910.734126115934,144548.75973995304,5663.582094628222,76982.17845735404,54807.1919415,145781.7584584992,33024.12029783456,315919.4072107989,112917.08837,17311.705471514226,25394.669805103953,60830.27021528073,72583.46400891324
11,9144.267347499264,141537.09847926768,5717.480337202276,76252.73565000822,54807.1919415,145200.52483206821,32986.759067337094,315851.1754343011,112917.08837,17476.454649900654,25636.341602547745,60283.05123813094,70445.6443210294
12,31406.067573140495,146694.1576793962,6092.776563939429,61704.827741293724,54807.1919415,165198.0494534047,32986.759067337094,315851.1754343011,112917.08837,18623.61163116693,27319.11472971359,53422.416414008956,70225.66723351627
