event_date;rank_step4;reference_peak_utc;event_start_utc;event_duration_h;pre_peak_offset_h;konvergierter_komp_prozentsatz;rohe_teilnahmequote_vor_cap;finale_teilnahmequote;potenzielle_jasm_last_im_fenster_mwh;total_verschobene_energie_mwh;avg_srl_price_in_window_chf_kwh;total_srl_wert_chf;auszahlung_pro_kwh_verschoben_chf;kompensation_pro_haushalt_chf;kompensations_basis_energie_kwh;iterations_to_converge;converged;error_message
2024-12-30;1;2024-12-30 16:45;2024-12-30 14:45;1.5;2.0;149.9908447265625;0.6505376344086021;0.629;114.723997797625;72.16139461470613;0.666368806633696;34980.95537298372;0.48475996839804397;3.47978759765625;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 14:45;3.0;2.0;104.88138811055174;0.5725806451612904;0.5725806451612904;504.85169315762494;289.06830817896275;0.458156904788821;87927.2343721658;0.3041745908642807;2.4332482041648005;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 14:45;4.5;2.0;93.69655094792817;0.5618279569892473;0.5618279569892473;702.4964689325;394.68215593250665;0.36243551498198195;107249.58051645245;0.27173658323380817;2.1737599819919335;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 15:45;1.5;1.0;100.79889141400625;0.6505376344086021;0.629;310.946774487625;195.5855211527161;0.43840808463567366;57176.420527351605;0.29233462779030256;2.3385342808049447;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 15:45;3.0;1.0;88.91920707438055;0.5618279569892473;0.5618279569892473;619.0173307776249;347.78124229173017;0.32158374015960706;89686.32768880262;0.2578814403497093;2.0629256041256285;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 15:45;4.5;1.0;85.6646671535035;0.5618279569892473;0.5618279569892473;680.228273468875;382.171261169341;0.26507744426026725;94947.65940797566;0.24844269848408126;1.987420277961281;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 16:45;1.5;0.0;84.21590057668624;0.6397849462365591;0.629;379.22089358;238.52994206182;0.2359556208626651;58258.79610192179;0.24424101896114497;1.9538088933791207;8.0;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 16:45;3.0;0.0;77.54793857537754;0.5618279569892473;0.5618279569892473;487.40798112462505;273.8394302555016;0.19536268182616123;61591.00005183657;0.22491647749328886;1.7991121749487589;8.0;13.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 16:45;4.5;0.0;75.85432794860735;0.5618279569892473;0.5618279569892473;522.419989549875;293.5101554191502;0.1809109375911319;64573.527708398295;0.22000440705768223;1.7598204084076903;8.0;13.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 15:00;1.5;2.0;149.9908447265625;0.6505376344086021;0.629;156.3982528595;98.37450104862549;0.7164098526106256;95023.1208388677;0.9659324299078149;3.47978759765625;8.0;14.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 15:00;3.0;2.0;149.9908447265625;0.5725806451612904;0.5725806451612904;564.9735450620001;323.4929169306613;0.5185527634771122;156463.8504445895;0.48367009679574086;3.47978759765625;8.0;14.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 15:00;4.5;2.0;;;;696.635642168;;0.42202142043392116;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 16:00;1.5;1.0;149.9908447265625;0.6505376344086021;0.629;375.52217611500004;236.203448776335;0.6378889851283048;141353.98094684596;0.5984416471441805;3.47978759765625;8.0;14.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 16:00;3.0;1.0;;;;641.0960869400001;;0.44559194426847226;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 16:00;4.5;1.0;;;;678.28546906925;;0.3290693952697342;;;;;;;JASM/SRL data mismatch or empty for window
