date;rank_step4;event_start_utc;event_duration_h;pre_peak_offset_h;offered_compensation_pct;final_participation_rate_pct;total_jasm_load_in_event_kwh;total_dispatched_energy_kwh;avg_srl_price_in_event_chf_kwh;avoided_srl_costs_chf;compensation_chf_per_hh_simulated;total_compensation_survey_participants_chf;net_benefit_chf_survey_scope
2024-12-30;1;2024-12-30 16:45;2.0;0.0;0.0;30.376344086021508;438.11312141;133.08274924551077;0.21708637717444312;31.005815582286758;0.0;0.0;31.005815582286758
2024-12-30;1;2024-12-30 16:45;2.0;0.0;0.3387;30.376344086021508;438.11312141;133.08274924551077;0.21708637717444312;31.005815582286758;0.29466899999999996;33.297596999999996;-2.2917814177132385
2024-12-30;1;2024-12-30 16:45;2.0;0.0;1.0;30.64516129032258;438.11312141;134.2604726901613;0.21708637717444312;31.280203330802568;0.87;99.17999999999999;-67.89979666919743
2024-12-30;1;2024-12-30 16:45;2.0;0.0;2.0;31.182795698924732;438.11312141;136.61591957946237;0.21708637717444312;31.828978827834188;1.74;201.84;-170.0110211721658
2024-12-30;1;2024-12-30 16:45;2.0;0.0;4.0;31.451612903225808;438.11312141;137.7936430241129;0.21708637717444312;32.10336657635;3.48;407.16;-375.05663342365006
2024-12-30;1;2024-12-30 16:45;2.0;0.0;5.0;36.55913978494624;438.11312141;160.17038847247312;0.21708637717444312;37.31673379815043;4.3500000000000005;591.6;-554.2832662018496
2024-12-30;1;2024-12-30 16:45;2.0;0.0;10.0;44.89247311827957;438.11312141;196.67981525663978;0.21708637717444312;45.8227540021406;8.700000000000001;1452.9;-1407.0772459978596
2024-12-30;1;2024-12-30 16:45;4.0;0.0;0.0;30.376344086021508;509.9237328547501;154.89618766824395;0.1848215687577231;34.346411584620114;0.0;0.0;34.346411584620114
2024-12-30;1;2024-12-30 16:45;4.0;0.0;0.3387;30.376344086021508;509.9237328547501;154.89618766824395;0.1848215687577231;34.346411584620114;0.29466899999999996;33.297596999999996;1.0488145846201178
2024-12-30;1;2024-12-30 16:45;4.0;0.0;1.0;30.64516129032258;509.9237328547501;156.26695039097177;0.1848215687577231;34.65036212961675;0.87;99.17999999999999;-64.52963787038324
2024-12-30;1;2024-12-30 16:45;4.0;0.0;2.0;31.182795698924732;509.9237328547501;159.00847583642744;0.1848215687577231;35.25826321961003;1.74;201.84;-166.58173678038997
2024-12-30;1;2024-12-30 16:45;4.0;0.0;4.0;31.451612903225808;509.9237328547501;160.37923855915523;0.1848215687577231;35.56221376460667;3.48;407.16;-371.59778623539336
2024-12-30;1;2024-12-30 16:45;4.0;0.0;5.0;36.55913978494624;509.9237328547501;186.42373029098388;0.1848215687577231;41.3372741195428;4.3500000000000005;591.6;-550.2627258804572
2024-12-30;1;2024-12-30 16:45;4.0;0.0;10.0;44.89247311827957;509.9237328547501;228.91737469554636;0.1848215687577231;50.759741014438575;8.700000000000001;1452.9;-1402.1402589855616
2024-12-30;1;2024-12-30 15:45;2.0;1.0;0.0;30.376344086021508;457.434917517625;138.95200451476245;0.39183264821935543;38.83041448856448;0.0;0.0;38.83041448856448
2024-12-30;1;2024-12-30 15:45;2.0;1.0;0.3387;30.376344086021508;457.434917517625;138.95200451476245;0.39183264821935543;38.83041448856448;0.29466899999999996;33.297596999999996;5.532817488564483
2024-12-30;1;2024-12-30 15:45;2.0;1.0;1.0;30.64516129032258;457.434917517625;140.18166827153024;0.39183264821935543;39.17404647518894;0.87;99.17999999999999;-60.005953524811055
2024-12-30;1;2024-12-30 15:45;2.0;1.0;2.0;31.182795698924732;457.434917517625;142.64099578506585;0.39183264821935543;39.86131044843787;1.74;201.84;-161.97868955156213
2024-12-30;1;2024-12-30 15:45;2.0;1.0;4.0;31.451612903225808;457.434917517625;143.87065954183367;0.39183264821935543;40.20494243506233;3.48;407.16;-366.9550575649377
2024-12-30;1;2024-12-30 15:45;2.0;1.0;5.0;36.55913978494624;457.434917517625;167.23427092042203;0.39183264821935543;46.73395018092715;4.3500000000000005;591.6;-544.8660498190728
2024-12-30;1;2024-12-30 15:45;2.0;1.0;10.0;44.89247311827957;457.434917517625;205.35384738022412;0.39183264821935543;57.386541766285546;8.700000000000001;1452.9;-1395.5134582337146
2024-12-30;1;2024-12-30 15:45;4.0;1.0;0.0;30.376344086021508;668.31219049225;203.00881055275337;0.2791666279021046;50.78527549279569;0.0;0.0;50.78527549279569
2024-12-30;1;2024-12-30 15:45;4.0;1.0;0.3387;30.376344086021508;668.31219049225;203.00881055275337;0.2791666279021046;50.78527549279569;0.29466899999999996;33.297596999999996;17.487678492795695
2024-12-30;1;2024-12-30 15:45;4.0;1.0;1.0;30.64516129032258;668.31219049225;204.80534869923792;0.2791666279021046;51.23470270954609;0.87;99.17999999999999;-47.9452972904539
2024-12-30;1;2024-12-30 15:45;4.0;1.0;2.0;31.182795698924732;668.31219049225;208.39842499220703;0.2791666279021046;52.1335571430469;1.74;201.84;-149.70644285695312
2024-12-30;1;2024-12-30 15:45;4.0;1.0;4.0;31.451612903225808;668.31219049225;210.19496313869155;0.2791666279021046;52.5829843597973;3.48;407.16;-354.5770156402027
2024-12-30;1;2024-12-30 15:45;4.0;1.0;5.0;36.55913978494624;668.31219049225;244.32918792189787;0.2791666279021046;61.12210147805498;4.3500000000000005;591.6;-530.477898521945
2024-12-30;1;2024-12-30 15:45;4.0;1.0;10.0;44.89247311827957;668.31219049225;300.0218704629186;0.2791666279021046;75.0543451973175;8.700000000000001;1452.9;-1377.8456548026825
