date;rank_step4;event_start_utc;event_duration_h;pre_peak_offset_h;offered_compensation_pct;final_participation_rate_pct;total_jasm_load_in_event_mwh;total_dispatched_energy_mwh;avg_dispatched_power_mw;avg_srl_price_in_event_chf_kwh;avoided_srl_costs_chf;compensation_chf_per_hh_simulated;total_compensation_ch_estimate;net_benefit_chf_total_ch_estimate
2024-12-30;1;2024-12-30 16:45;1.5;0.0;0.0;34.946236559139784;379.22089358;132.52343055215056;88.3489537014337;0.2359556208626651;32367.65771428378;0.0;0.0;32367.65771428378
2024-12-30;1;2024-12-30 16:45;1.5;0.0;1.0;35.215053763440864;379.22089358;133.54284155639786;89.02856103759858;0.2359556208626651;32616.639696701346;0.0232;19607.74193548387;13008.897761217475
2024-12-30;1;2024-12-30 16:45;1.5;0.0;2.0;35.752688172043015;379.22089358;135.58166356489247;90.3877757099283;0.2359556208626651;33114.60366153648;0.0464;39814.19354838709;-6699.589886850612
2024-12-30;1;2024-12-30 16:45;1.5;0.0;3.0;36.29032258064516;379.22089358;137.6204855733871;91.74699038225806;0.2359556208626651;33612.567626371616;0.0696;60619.354838709674;-27006.78721233806
2024-12-30;1;2024-12-30 16:45;1.5;0.0;4.0;36.55913978494624;379.22089358;138.6398965776344;92.42659771842294;0.2359556208626651;33861.54960878918;0.0928;81424.51612903226;-47562.96652024308
2024-12-30;1;2024-12-30 16:45;1.5;0.0;5.0;41.935483870967744;379.22089358;159.02811666258066;106.01874444172044;0.2359556208626651;38841.18925714053;0.11599999999999999;116748.38709677418;-77907.19783963365
2024-12-30;1;2024-12-30 16:45;1.5;0.0;6.0;42.204301075268816;379.22089358;160.04752766682796;106.6983517778853;0.2359556208626651;39090.17123955809;0.1392;140996.12903225806;-101905.95779269998
2024-12-30;1;2024-12-30 15:45;1.5;1.0;0.0;34.946236559139784;310.946774487625;108.66419538546036;72.44279692364024;0.43840808463567366;31766.307112141258;0.0;0.0;31766.307112141258
2024-12-30;1;2024-12-30 15:45;1.5;1.0;1.0;35.215053763440864;310.946774487625;109.50007381150235;73.00004920766823;0.43840808463567366;32010.6633206962;0.0232;19607.74193548387;12402.921385212328
2024-12-30;1;2024-12-30 15:45;1.5;1.0;2.0;35.752688172043015;310.946774487625;111.17183066358635;74.11455377572423;0.43840808463567366;32499.37573780606;0.0464;39814.19354838709;-7314.817810581029
2024-12-30;1;2024-12-30 15:45;1.5;1.0;3.0;36.29032258064516;310.946774487625;112.84358751567036;75.22905834378024;0.43840808463567366;32988.08815491593;0.0696;60619.354838709674;-27631.266683793743
2024-12-30;1;2024-12-30 15:45;1.5;1.0;4.0;36.55913978494624;310.946774487625;113.67946594171235;75.78631062780823;0.43840808463567366;33232.44436347086;0.0928;81424.51612903226;-48192.0717655614
2024-12-30;1;2024-12-30 15:45;1.5;1.0;5.0;41.935483870967744;310.946774487625;130.39703446255243;86.93135630836828;0.43840808463567366;38119.56853456952;0.11599999999999999;116748.38709677418;-78628.81856220466
2024-12-30;1;2024-12-30 15:45;1.5;1.0;6.0;42.204301075268816;310.946774487625;131.23291288859443;87.48860859239629;0.43840808463567366;38363.92474312445;0.1392;140996.12903225806;-102632.2042891336
2024-12-30;1;2024-12-30 14:45;1.5;2.0;0.0;34.946236559139784;114.723997797625;40.091719660460356;26.72781310697357;0.666368806633696;19434.860755627997;0.0;0.0;19434.860755627997
2024-12-30;1;2024-12-30 14:45;1.5;2.0;1.0;35.215053763440864;114.723997797625;40.40011750400235;26.9334116693349;0.666368806633696;19584.359684517443;0.0232;19607.74193548387;-23.38225096642782
2024-12-30;1;2024-12-30 14:45;1.5;2.0;2.0;35.752688172043015;114.723997797625;41.01691319108636;27.344608794057574;0.666368806633696;19883.357542296337;0.0464;39814.19354838709;-19930.836006090754
2024-12-30;1;2024-12-30 14:45;1.5;2.0;3.0;36.29032258064516;114.723997797625;41.63370887817037;27.755805918780244;0.666368806633696;20182.35540007523;0.0696;60619.354838709674;-40436.99943863445
2024-12-30;1;2024-12-30 14:45;1.5;2.0;4.0;36.55913978494624;114.723997797625;41.94210672171236;27.961404481141575;0.666368806633696;20331.854328964673;0.0928;81424.51612903226;-61092.66180006758
2024-12-30;1;2024-12-30 14:45;1.5;2.0;5.0;41.935483870967744;114.723997797625;48.11006359255242;32.07337572836828;0.666368806633696;23321.832906753596;0.11599999999999999;116748.38709677418;-93426.55419002059
2024-12-30;1;2024-12-30 14:45;1.5;2.0;6.0;42.204301075268816;114.723997797625;48.41846143609442;32.278974290729614;0.666368806633696;23471.331835643043;0.1392;140996.12903225806;-117524.79719661502
2024-01-10;2;2024-01-10 16:00;1.5;1.0;0.0;34.946236559139784;375.52217611500004;131.23086799717743;87.48724533145162;0.6378889851283048;78534.01680039137;0.0;0.0;78534.01680039137
2024-01-10;2;2024-01-10 16:00;1.5;1.0;1.0;35.215053763440864;375.52217611500004;132.24033621254034;88.16022414169356;0.6378889851283048;79138.12462193283;0.0232;19607.74193548387;59530.38268644896
2024-01-10;2;2024-01-10 16:00;1.5;1.0;2.0;35.752688172043015;375.52217611500004;134.25927264326614;89.50618176217743;0.6378889851283048;80346.34026501578;0.0464;39814.19354838709;40532.14671662869
2024-01-10;2;2024-01-10 16:00;1.5;1.0;3.0;36.29032258064516;375.52217611500004;136.27820907399195;90.85213938266129;0.6378889851283048;81554.55590809873;0.0696;60619.354838709674;20935.201069389055
2024-01-10;2;2024-01-10 16:00;1.5;1.0;4.0;36.55913978494624;375.52217611500004;137.28767728935483;91.52511819290322;0.6378889851283048;82158.66372964019;0.0928;81424.51612903226;734.147600607932
2024-01-10;2;2024-01-10 16:00;1.5;1.0;5.0;41.935483870967744;375.52217611500004;157.4770415966129;104.98469439774193;0.6378889851283048;94240.82016046965;0.11599999999999999;116748.38709677418;-22507.56693630453
2024-01-10;2;2024-01-10 16:00;1.5;1.0;6.0;42.204301075268816;375.52217611500004;158.48650981197582;105.65767320798388;0.6378889851283048;94844.9279820111;0.1392;140996.12903225806;-46151.201050246964
2024-01-10;2;2024-01-10 15:00;1.5;2.0;0.0;34.946236559139784;156.3982528595;54.655303418642475;36.43686894576165;0.7164098526106256;52793.33003851822;0.0;0.0;52793.33003851822
2024-01-10;2;2024-01-10 15:00;1.5;2.0;1.0;35.215053763440864;156.3982528595;55.07572882955511;36.71715255303674;0.7164098526106256;53199.43257727606;0.0232;19607.74193548387;33591.690641792185
2024-01-10;2;2024-01-10 15:00;1.5;2.0;2.0;35.752688172043015;156.3982528595;55.91657965138038;37.27771976758692;0.7164098526106256;54011.63765479172;0.0464;39814.19354838709;14197.444106404626
