respondent_id,Geschirrspüler_choice,Backofen und Herd_choice,Fernseher und Entertainment-Systeme_choice,Bürogeräte_choice,Waschmaschine_choice,Geschirrspüler_pct,Backofen und Herd_pct,Fernseher und Entertainment-Systeme_pct,Bürogeräte_pct,Waschmaschine_pct
118867014490,"Ja, +","Ja, f","Ja, f","Ja, +","Ja, +",5.0,5.0,4.0,6.0,4.0
118867103472,"Ja, f","Ja, f","Ja, f","Ja, +","Ja, f",,,,,
118867106782,,,,,,,,,,
118867102635,"Ja, +",Nein,"Ja, f",Nein,Nein,10.0,,10.0,,
118867095560,"Ja, +",Nein,"Ja, f","Ja, +","Ja, f",1.0,,2.0,10.0,30.0
118867093389,,,Nein,Nein,"Ja, +",,,,,
118867085559,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, f",,,,,
118867081746,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",,,,,
118867081624,"Ja, f","Ja, +","Ja, f","Ja, f","Ja, +",10.0,30.0,10.0,20.0,30.0
118867080434,Nein,Nein,Nein,Nein,Nein,,,,,
118867074861,"Ja, f","Ja, +","Ja, +","Ja, f","Ja, f",14.0,10.0,11.0,10.0,20.0
118867075571,"Ja, +","Ja, +","Ja, f","Ja, +","Ja, +",4.0,5.0,0.0,2.0,4.0
118867072484,"Ja, f","Ja, +",Nein,"Ja, +","Ja, +",10.0,15.0,,7.0,60.0
118867062931,Nein,"Ja, +","Ja, +","Ja, f","Ja, +",,8.0,8.0,8.0,8.0
118867061539,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",5.0,12.0,33.0,2.0,6.0
118867060721,"Ja, f",Nein,"Ja, +",Nein,"Ja, +",,,4.0,,3.0
118867051868,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",20.0,20.0,20.0,20.0,20.0
118867051937,"Ja, f","Ja, f",Nein,"Ja, f","Ja, f",5.0,5.0,,5.0,5.0
118867049431,"Ja, f","Ja, f","Ja, f","Ja, f","Ja, f",23.0,28.0,51.0,48.0,8.0
118867048965,"Ja, +","Ja, +","Ja, +","Ja, +","Ja, +",5.0,5.0,5.0,5.0,5.0
118867015928,"Ja, f","Ja, +","Ja, f",Nein,"Ja, +",10.0,20.0,10.0,,10.0
118867045143,"Ja, f","Ja, +","Ja, +",Nein,"Ja, f",,10.0,10.0,,
118867046914,"Ja, f","Ja, f","Ja, +","Ja, +",Nein,5.0,6.0,8.0,10.0,
118867037998,"Ja, +",Nein,Nein,"Ja, +",Nein,,,,,
