timestamp,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2035-05-01 00:00:00+02:00,19813.09427,1202.374426,4634.348828,2686.059565,31628.0274,23424.1995,9560.361009999999,427104.1342,98934.552,8314.325593,11271.7112,1193.862177,6783.821762
2035-05-01 00:15:00+02:00,15543.030849750001,1052.07762275,3543.91380975,3300.96048875,31628.0274,20512.0728875,9002.7546685,407120.19039999996,98934.552,6358.013688749999,8619.54385875,950.7865965,5668.9107162499995
2035-05-01 00:30:00+02:00,11272.9674295,901.7808195,2453.4787915,3915.8614125000004,31628.0274,17599.946275,8445.148326999999,387136.24659999995,98934.552,4401.7017845,5967.3765175,707.711016,4553.999670499999
2035-05-01 00:45:00+02:00,7002.90400925,751.4840162500001,1363.0437732500002,4530.76233625,31628.0274,14687.8196625,7887.5419855,367152.3028,98934.552,2445.3898802500003,3315.20917625,464.63543549999997,3439.0886247500002
2035-05-01 01:00:00+02:00,2732.840589,601.187213,272.608755,5145.66326,31628.0274,11775.69305,7329.935644,347168.359,98934.552,489.07797600000004,663.041835,221.559855,2324.177579
2035-05-01 01:15:00+02:00,2106.56462075,450.89040975,234.27314875,4950.8376692500005,31628.0274,10817.80255625,6893.2835025,337667.293475,98934.552,420.30138575,569.801577,166.16989125,2333.3261635
2035-05-01 01:30:00+02:00,1480.2886525,300.5936065,195.9375425,4756.0120785,31628.0274,9859.9120625,6456.631361,328166.22795,98934.552,351.52479550000004,476.561319,110.7799275,2342.474748
2035-05-01 01:45:00+02:00,854.0126842499999,150.29680325,157.60193625,4561.186487749999,31628.0274,8902.021568749999,6019.9792195,318665.162425,98934.552,282.74820525000007,383.321061,55.38996375,2351.6233325000003
2035-05-01 02:00:00+02:00,227.736716,0.0,119.26633000000001,4366.360897,31628.0274,7944.131074999999,5583.327078,309164.0969,98934.552,213.971615,290.080803,0.0,2360.771917
2035-05-01 02:15:00+02:00,341.60507375,150.29680325,110.74730650000001,3970.9710147499995,31628.0274,7671.855678249999,5526.478604,320127.744675,98934.552,198.68792825,269.36074575,0.02375,1857.9864995
2035-05-01 02:30:00+02:00,455.4734315,300.5936065,102.228283,3575.5811324999995,31628.0274,7399.580281499999,5469.6301300000005,331091.39245000004,98934.552,183.4042415,248.6406885,0.0475,1355.201082
2035-05-01 02:45:00+02:00,569.34178925,450.89040975,93.7092595,3180.19125025,31628.0274,7127.3048847499995,5412.781656000001,342055.040225,98934.552,168.12055475,227.92063124999999,0.07125000000000001,852.4156645
2035-05-01 03:00:00+02:00,683.210147,601.187213,85.190236,2784.801368,31628.0274,6855.029487999999,5355.933182000001,353018.688,98934.552,152.83686799999998,207.200574,0.095,349.630247
2035-05-01 03:15:00+02:00,627.35853925,1057.79324025,106.7307715,2366.056194,31628.0274,7100.025587499999,5703.0770785,349411.72315000003,98934.552,191.48200075,259.5916875,934.4049027500001,262.33290925
2035-05-01 03:30:00+02:00,571.5069315,1514.3992675,128.27130699999998,1947.3110199999999,31628.0274,7345.0216869999995,6050.220975,345804.7583,98934.552,230.12713349999999,311.982801,1868.7148055000002,175.0355715
2035-05-01 03:45:00+02:00,515.65532375,1971.00529475,149.81184249999998,1528.565846,31628.0274,7590.0177865,6397.364871500001,342197.79345,98934.552,268.77226625,364.37391449999996,2803.0247082500005,87.73823375
2035-05-01 04:00:00+02:00,459.80371599999995,2427.611322,171.352378,1109.8206719999998,31628.0274,7835.013886,6744.508768000001,338590.8286,98934.552,307.417399,416.765028,3737.334611,0.44089599999999995
2035-05-01 04:15:00+02:00,692.9532879999999,6952.8321815,176.2598275,1104.9882907499998,31628.0274,8964.4770095,7764.1676335,344539.10250000004,98934.552,316.221685,428.70097749999996,3155.778858,174.25684275000003
2035-05-01 04:30:00+02:00,926.10286,11478.053041000001,181.167277,1100.1559094999998,31628.0274,10093.940133,8783.826499,350487.3764,98934.552,325.025971,440.636927,2574.223105,348.07278950000006
2035-05-01 04:45:00+02:00,1159.252432,16003.2739005,186.0747265,1095.32352825,31628.0274,11223.4032565,9803.4853645,356435.6503,98934.552,333.830257,452.5728765,1992.667352,521.8887362500001
2035-05-01 05:00:00+02:00,1392.402004,20528.49476,190.982176,1090.491147,31628.0274,12352.86638,10823.14423,362383.9242,98934.552,342.634543,464.508826,1411.111599,695.704683
2035-05-01 05:15:00+02:00,1856.5360055,58506.21007,290.813768,2379.50775925,31628.0274,11844.056685,16036.3471825,366308.097825,98934.552,521.7389635000001,707.32025775,1362.47439725,1907.7965295
2035-05-01 05:30:00+02:00,2320.6700069999997,96483.92538,390.64536,3668.5243714999997,31628.0274,11335.24699,21249.550134999998,370232.27145,98934.552,700.843384,950.1316895,1313.8371955,3119.888376
2035-05-01 05:45:00+02:00,2784.8040085,134461.64069,490.476952,4957.54098375,31628.0274,10826.437295,26462.7530875,374156.445075,98934.552,879.9478045000001,1192.9431212499999,1265.19999375,4331.9802225
2035-05-01 06:00:00+02:00,3248.93801,172439.356,590.308544,6246.557596,31628.0274,10317.6276,31675.956039999997,378080.6187,98934.552,1059.0522250000001,1435.754553,1216.562792,5544.072069
2035-05-01 06:15:00+02:00,5453.574517499999,218628.46922499998,742.226184,11146.065762,31628.0274,10317.6276,39908.2207,365613.292775,98934.552,1331.60242975,1805.25021,968.8652665,14349.00742925
2035-05-01 06:30:00+02:00,7658.211025,264817.58245,894.143824,16045.573928000002,31628.0274,10317.6276,48140.48535999999,353145.96684999997,98934.552,1604.1526345000002,2174.745867,721.167741,23153.942789499997
