,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2024-09-01 04:15:00+02:00,0.0,10097.1884981125,111.5541353,1070.66878855,54807.1919415,17517.378671799997,7090.752345075,276053.46936375,112917.08837,340.98425655,500.1923471,2067.4232641,1239.1966714500002
2024-09-01 04:30:00+02:00,0.0,15489.752507574998,111.5541353,1199.9014858,54807.1919415,18408.450475449998,8021.97238455,280819.37731250003,112917.08837,340.98425655,500.1923471,2836.19382575,2478.3933429000003
2024-09-01 04:45:00+02:00,0.0,20882.3165170375,111.5541353,1329.13418305,54807.1919415,19299.522279099998,8953.192424025001,285585.28526125,112917.08837,340.98425655,500.1923471,3604.9643874000003,3717.5900143500003
2024-09-01 05:00:00+02:00,0.0,26274.8805265,111.5541353,1458.3668802999998,54807.1919415,20190.594082749998,9884.412463499999,290351.19321,112917.08837,340.98425655,500.1923471,4373.73494905,4956.786685800001
2024-09-01 05:15:00+02:00,908.747805775,56819.429136125,237.0525369,2328.1675548374997,54807.1919415,25839.9400419375,14645.454832125,293495.34067875,112917.08837,724.5915447375,1062.9087377375,3908.8040623750003,6923.9788236
2024-09-01 05:30:00+02:00,1817.49561155,87363.97774575,362.55093850000003,3197.9682293749997,54807.1919415,31489.286001125,19406.49720075,296639.48814750003,112917.08837,1108.198832925,1625.625128375,3443.8731756999996,8891.1709614
2024-09-01 05:45:00+02:00,2726.243417325,117908.526355375,488.0493401,4067.7689039125,54807.1919415,37138.6319603125,24167.539569375003,299783.63561625,112917.08837,1491.8061211125,2188.3415190125,2978.942289025,10858.3630992
2024-09-01 06:00:00+02:00,3634.9912231,148453.074965,613.5477417,4937.56957845,54807.1919415,42787.9779195,28928.581938,302927.783085,112917.08837,1875.4134093,2751.05790965,2514.01140235,12825.555237
2024-09-01 06:15:00+02:00,5452.4868344,183924.1636675,690.2412096625001,8361.7519109625,54807.1919415,39308.216529,36446.831504999995,292938.6452625,112917.08837,2109.8400853375,3094.9401484375,1885.5085517624998,17331.095174625
2024-09-01 06:30:00+02:00,7269.9824456999995,219395.25237,766.9346776250001,11785.934243475,54807.1919415,35828.4551385,43965.081072,282949.50744,112917.08837,2344.266761375,3438.822387225,1257.005701175,21836.635112250002
2024-09-01 06:45:00+02:00,9087.478056999998,254866.3410725,843.6281455875001,15210.116575987498,54807.1919415,32348.693747999998,51483.330639,272960.3696175,112917.08837,2578.6934374125,3782.7046260125,628.5028505875,26342.175049875
2024-09-01 07:00:00+02:00,10904.9736683,290337.429775,920.32161355,18634.298908499997,54807.1919415,28868.9323575,59001.580206,262971.231795,112917.08837,2813.1201134499997,4126.5868648,0.0,30847.7149875
2024-09-01 07:15:00+02:00,13761.038200599998,293293.35383125,1066.7364155750001,29316.278226,54807.1919415,28868.9323575,62396.17287525,278668.83102875005,112917.08837,3260.6619496499998,4783.0893205125,108.23657414999998,47261.24744700001
