,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2024-12-01 00:00:00+01:00,25136.402662,2232.65999845,2858.8752342,38675.6196415,54807.1919415,58127.868515999995,8731.1551545,342206.66737,112917.08837,8738.6401761,12818.776416300001,25463.601525000002,30778.636785500003
2024-12-01 00:15:00+01:00,19406.7814670625,1953.5774985750002,2243.4324384375,46889.670555125,54807.1919415,52024.257965,8221.912095825,326195.02462249994,112917.08837,6857.43421175,10059.2213639625,19642.5025198125,36392.069808625005
2024-12-01 00:30:00+01:00,13677.160272125,1674.4949987,1627.989642675,55103.721468749995,54807.1919415,45920.647414,7712.66903715,310183.38187499996,112917.08837,4976.2282474,7299.666311625,13821.403514625,42005.502831750004
2024-12-01 00:45:00+01:00,7947.539077187499,1395.412498825,1012.5468469125,63317.772382375006,54807.1919415,39817.036863,7203.425978475,294171.7391275,112917.08837,3095.0222830499997,4540.1112592875,8000.304509437499,47618.935854875
2024-12-01 01:00:00+01:00,2217.9178822500003,1116.3299989500001,397.10405115000003,71531.823296,54807.1919415,33713.426311999996,6694.1829198000005,278160.09638,112917.08837,1213.8163187,1780.55620695,2179.20550425,53232.368878
2024-12-01 01:15:00+01:00,2033.0913920625,837.2474992125001,327.61817966250004,63767.603616500004,54807.1919415,30671.203245750003,6295.403251125001,270547.60166000004,112917.08837,1001.4208911874999,1468.991770875,2297.4930741125,49824.316292375
2024-12-01 01:30:00+01:00,1848.2649018750003,558.1649994750001,258.132308175,56003.383937,54807.1919415,27628.9801795,5896.62358245,262935.10693999997,112917.08837,789.025463675,1157.4273348,2415.7806439749997,46416.263706749996
2024-12-01 01:45:00+01:00,1663.4384116875,279.08249973750003,188.64643668750003,48239.1642575,54807.1919415,24586.75711325,5497.843913775,255322.61222,112917.08837,576.6300361625,845.8628987249999,2534.0682138374996,43008.211121125
2024-12-01 02:00:00+01:00,1478.6119214999999,0.0,119.16056520000001,40474.944577999995,54807.1919415,21544.534047,5099.0642451,247710.1175,112917.08837,364.23460865,534.29846265,2652.3557837,39600.1585355
2024-12-01 02:15:00+01:00,1293.7854313125,558.1649996125,109.23051813750001,32594.6831456625,54807.1919415,20167.1574274,5047.1464518,256494.4702175,112917.08837,333.8817245875,489.77359076249996,2451.6227596249996,30901.01582455
