date;rank_step4;event_start_utc;event_duration_h;pre_peak_offset_h;offered_compensation_pct;final_participation_rate_pct;total_jasm_load_in_event_mwh;total_dispatched_energy_mwh;avg_dispatched_power_mw;avg_srl_price_in_event_chf_kwh;avoided_srl_costs_chf;compensation_chf_per_hh_simulated;total_compensation_ch_estimate;net_benefit_chf_total_ch_estimate
2024-01-10;2;2024-01-10 16:00:00;1.5;1.0;4.0;36.55913978494624;375.522176115;137.28767728935483;91.52511819290322;0.6378889851283048;82158.66372964019;0.0928;81424.51612903226;734.147600607932
2024-01-10;2;2024-01-10 16:00:00;1.5;1.0;3.0;36.29032258064516;375.522176115;136.27820907399197;90.85213938266128;0.6378889851283048;81554.55590809873;0.0696;60619.354838709674;20935.201069389055
2024-12-04;3;2024-12-04 16:45:00;1.5;0.0;2.0;35.752688172043015;379.22089358;135.58166356489247;90.3877757099283;0.3069360035457192;41770.49711996437;0.0464;39814.19354838709;1956.3035715772785
2024-01-10;2;2024-01-10 16:00:00;1.5;1.0;2.0;35.752688172043015;375.522176115;134.25927264326614;89.50618176217743;0.6378889851283048;80346.34026501578;0.0464;39814.19354838709;40532.14671662869
2024-12-04;3;2024-12-04 16:45:00;1.5;0.0;1.0;35.215053763440864;379.22089358;133.54284155639786;89.02856103759858;0.3069360035457192;41142.369343724306;0.0232;19607.74193548387;21534.62740824043
2024-12-30;1;2024-12-30 16:45:00;1.5;0.0;1.0;35.215053763440864;379.22089358;133.54284155639786;89.02856103759858;0.2359556208626651;32616.639696701342;0.0232;19607.74193548387;13008.897761217477
2024-12-04;3;2024-12-04 16:45:00;1.5;0.0;0.0;34.946236559139784;379.22089358;132.52343055215056;88.3489537014337;0.3069360035457192;40828.30545560428;0.0;0.0;40828.30545560428
2024-12-30;1;2024-12-30 16:45:00;1.5;0.0;0.0;34.946236559139784;379.22089358;132.52343055215056;88.3489537014337;0.2359556208626651;32367.65771428378;0.0;0.0;32367.65771428378
2024-01-10;2;2024-01-10 16:00:00;1.5;1.0;1.0;35.215053763440864;375.522176115;132.24033621254034;88.16022414169356;0.6378889851283048;79138.12462193283;0.0232;19607.74193548387;59530.38268644896
2024-01-10;2;2024-01-10 16:00:00;1.5;1.0;0.0;34.946236559139784;375.522176115;131.23086799717743;87.48724533145162;0.6378889851283048;78534.01680039137;0.0;0.0;78534.01680039137
2024-12-04;3;2024-12-04 15:45:00;1.5;1.0;1.0;35.215053763440864;310.946774487625;109.50007381150236;73.00004920766823;0.3699067650969729;38558.51627986359;0.0232;19607.74193548387;18950.774344379715
2024-12-30;1;2024-12-30 15:45:00;1.5;1.0;1.0;35.215053763440864;310.946774487625;109.50007381150236;73.00004920766823;0.4384080846356736;32010.6633206962;0.0232;19607.74193548387;12402.921385212328
2024-12-04;3;2024-12-04 15:45:00;1.5;1.0;0.0;34.946236559139784;310.946774487625;108.66419538546036;72.44279692364024;0.3699067650969729;38264.17646093332;0.0;0.0;38264.17646093332
2024-12-30;1;2024-12-30 15:45:00;1.5;1.0;0.0;34.946236559139784;310.946774487625;108.66419538546036;72.44279692364024;0.4384080846356736;31766.307112141258;0.0;0.0;31766.307112141258
2024-01-10;2;2024-01-10 15:00:00;1.5;2.0;2.0;35.752688172043015;156.3982528595;55.91657965138038;37.27771976758692;0.7164098526106256;54011.63765479172;0.0464;39814.19354838709;14197.444106404626
2024-01-10;2;2024-01-10 15:00:00;1.5;2.0;1.0;35.215053763440864;156.3982528595;55.07572882955511;36.71715255303674;0.7164098526106256;53199.43257727606;0.0232;19607.74193548387;33591.690641792185
2024-01-10;2;2024-01-10 15:00:00;1.5;2.0;0.0;34.946236559139784;156.3982528595;54.655303418642475;36.43686894576165;0.7164098526106256;52793.33003851822;0.0;0.0;52793.33003851822
2024-12-30;1;2024-12-30 14:45:00;1.5;2.0;0.0;34.946236559139784;114.723997797625;40.09171966046035;26.72781310697357;0.666368806633696;19434.860755627997;0.0;0.0;19434.860755627997
2024-12-04;3;2024-12-04 14:45:00;1.5;2.0;0.0;34.946236559139784;114.723997797625;40.09171966046035;26.72781310697357;0.4337194793026092;16746.17451759871;0.0;0.0;16746.17451759871
