,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2024-02-01 02:30:00+01:00,1106.746288475,826.8037238750001,69.364288425,30019.576765000005,54807.1919415,20815.493410349998,4995.2286585,265278.82293500006,112917.08837,212.023788675,311.01927585,4031.2316080500004,24095.807717
2024-02-01 02:45:00+01:00,737.8308590375,1240.2055858125002,54.5005123875,21727.181914750003,54807.1919415,20027.611693525,4943.310865200001,274063.1756525,112917.08837,166.5901196875,244.37228817500002,3246.027725675,17342.503653
2024-02-01 03:00:00+01:00,368.9154296,1653.6074477500001,39.63673635,13434.7870645,54807.1919415,19239.7299767,4891.3930719,282847.52837,112917.08837,121.1564507,177.7253005,2460.8238433,10589.199589
2024-02-01 03:15:00+01:00,368.9154296,2067.00930955,54.500512387499995,10689.427313975,54807.1919415,19884.188974650002,5208.427880325,279957.53663125,112917.08837,166.5901196875,244.37228817500002,12799.709406225,9987.4416337875
2024-02-01 03:30:00+01:00,368.9154296,2480.41117135,69.364288425,7944.06756345,54807.1919415,20528.647972600003,5525.46268875,277067.5448925,112917.08837,212.023788675,311.01927585,23138.59496915,9385.683678574998
2024-02-01 03:45:00+01:00,368.9154296,2893.81303315,84.22806446249999,5198.707812925,54807.1919415,21173.10697055,5842.497497175001,274177.55315375,112917.08837,257.4574576625,377.666263525,33477.480532075,8783.9257233625
2024-02-01 04:00:00+01:00,368.9154296,3307.21489495,99.0918405,2453.3480624000003,54807.1919415,21817.5659685,6159.532305600001,271287.561415,112917.08837,302.89112665,444.3132512000001,43816.366095000005,8182.16776815
2024-02-01 04:15:00+01:00,821.0617791249999,8321.176431837499,103.9255888625,2229.0342529125,54807.1919415,23623.766359875,7090.752345075,276053.46936375,112917.08837,317.66630342499997,465.98706837500004,45131.305194625005,6614.638710325
2024-02-01 04:30:00+01:00,1273.20812865,13335.137968725001,108.759337225,2004.720443425,54807.1919415,25429.966751250002,8021.97238455,280819.37731250003,112917.08837,332.4414802,487.66088555,46446.244294250006,5047.109652499999
2024-02-01 04:45:00+01:00,1725.354478175,18349.0995056125,113.5930855875,1780.4066339375,54807.1919415,27236.167142625003,8953.192424025001,285585.28526125,112917.08837,347.21665697500003,509.33470272499994,47761.183393875006,3479.580594675
2024-02-01 05:00:00+01:00,2177.5008276999997,23363.0610425,118.42683395,1556.09282445,54807.1919415,29042.367534,9884.412463499999,290351.19321,112917.08837,361.99183375,531.0085199,49076.12249350001,1912.05153685
2024-02-01 05:15:00+01:00,3047.9736933125,50703.916444375,180.828024675,1375.8788155875,54807.1919415,34233.739720875004,14645.454832125,293495.34067875,112917.08837,552.7317253125,810.8062884375,42286.324919875005,1688.8423036625
2024-02-01 05:30:00+01:00,3918.4465589250003,78044.77184625,243.2292154,1195.664806725,54807.1919415,39425.111907750004,19406.49720075,296639.48814750003,112917.08837,743.4716168749999,1090.604056975,35496.52734625,1465.6330704749998
2024-02-01 05:45:00+01:00,4788.9194245375,105385.627248125,305.63040612500004,1015.4507978625,54807.1919415,44616.484094625004,24167.539569375003,299783.63561625,112917.08837,934.2115084374999,1370.4018255125002,28706.729772625,1242.4238372875
2024-02-01 06:00:00+01:00,5659.39229015,132726.48265000002,368.03159685,835.236789,54807.1919415,49807.856281500004,28928.581938,302927.783085,112917.08837,1124.9514,1650.1995940500003,21916.932199,1019.2146041
2024-02-01 06:15:00+01:00,7744.4315542375,166467.34409875,531.9800985874999,885.86516985,54807.1919415,62672.36757925,36446.831504999995,292938.6452625,112917.08837,1626.0879822999998,2385.3205823625003,17917.5346374,1076.1636053749999
2024-02-01 06:30:00+01:00,9829.470818325,200208.2055475,695.9286003249999,936.4935507,54807.1919415,75536.878877,43965.081072,282949.50744,112917.08837,2127.2245645999997,3120.441570675,13918.137075800001,1133.1126066499999
2024-02-01 06:45:00+01:00,11914.5100824125,233949.06699624998,859.8771020625,987.12193155,54807.1919415,88401.39017475,51483.330639,272960.3696175,112917.08837,2628.3611468999998,3855.5625589875,9918.7395142,1190.061607925
2024-02-01 07:00:00+01:00,13999.5493465,267689.92844499997,1023.8256038,1037.7503124,54807.1919415,101265.9014725,59001.580206,262971.231795,112917.08837,3129.4977292,4590.6835473,5919.3419526,1247.0106092
