,Computer,Cooking,DVB,Dishwasher,Freezers,Lighting,Music,Others,Refrigerators,STB,TV,Tumble dryer,Washing machine
2024-03-01 00:00:00+01:00,23878.791647,1048.6607386,4009.4273862,2405.49694055,54807.1919415,47531.59574149999,8731.1551545,342206.66737,112917.08837,12255.4992308,17977.6831815,1854.12649685,6384.96054585
2024-03-01 00:15:00+01:00,18732.5003438,917.5781462750001,3066.0327070375,2956.1706151875,54807.1919415,41622.40661875,8221.912095825,326195.02462249994,112917.08837,9371.8523528875,13747.6400798875,1476.618202175,5335.601749287501
2024-03-01 00:30:00+01:00,13586.2090406,786.49555395,2122.6380278750003,3506.8442898249996,54807.1919415,35713.217496,7712.66903715,310183.38187499996,112917.08837,6488.205474975,9517.596978275,1099.1099075000002,4286.242952725001
2024-03-01 00:45:00+01:00,8439.917737400001,655.4129616250001,1179.2433487125002,4057.5179644625,54807.1919415,29804.028373249996,7203.425978475,294171.7391275,112917.08837,3604.5585970624998,5287.5538766624995,721.601612825,3236.8841561625004
2024-03-01 01:00:00+01:00,3293.6264342,524.3303693,235.84866955,4608.1916391,54807.1919415,23894.8392505,6694.1829198000005,278160.09638,112917.08837,720.91171915,1057.5107750500001,344.09331815,2187.5253596000002
2024-03-01 01:15:00+01:00,2538.837043,393.247776975,202.6824504125,4433.7158497375,54807.1919415,21951.120160487502,6295.403251125001,270547.60166000004,112917.08837,619.5335086875,908.7983224,258.0699886125,2196.136044625
2024-03-01 01:30:00+01:00,1784.0476518,262.16518465,169.516231275,4259.240060375,54807.1919415,20007.401070475,5896.62358245,262935.10693999997,112917.08837,518.155298225,760.08586975,172.046659075,2204.7467296500004
2024-03-01 01:45:00+01:00,1029.2582606,131.082592325,136.3500121375,4084.7642710125,54807.1919415,18063.681980462497,5497.843913775,255322.61222,112917.08837,416.77708776249995,611.3734171,86.0233295375,2213.357414675
2024-03-01 02:00:00+01:00,274.46886939999996,0.0,103.18379300000001,3910.28848165,54807.1919415,16119.96289045,5099.0642451,247710.1175,112917.08837,315.3988773,462.66096444999994,0.0,2221.9680997
2024-03-01 02:15:00+01:00,411.703304125,131.082592325,95.8135220875,3556.1976177625,54807.1919415,15567.470836575001,5047.1464518,256494.4702175,112917.08837,292.870386025,429.61375263749994,0.036903725,1748.744426275
2024-03-01 02:30:00+01:00,548.93773885,262.16518465,88.443251175,3202.1067538750003,54807.1919415,15014.9787827,4995.2286585,265278.82293500006,112917.08837,270.34189475,396.56654082499995,0.07380745,1275.52075285
2024-03-01 02:45:00+01:00,686.172173575,393.247776975,81.0729802625,2848.0158899875,54807.1919415,14462.486728825,4943.310865200001,274063.1756525,112917.08837,247.81340347499997,363.51932901249995,0.110711175,802.297079425
2024-03-01 03:00:00+01:00,823.4066083,524.3303693,73.70270934999999,2493.9250261,54807.1919415,13909.99467495,4891.3930719,282847.52837,112917.08837,225.2849122,330.47211719999996,0.1476149,329.073406
2024-03-01 03:15:00+01:00,754.7893910624999,917.5781463875,92.1283866875,2116.8091670375,54807.1919415,14367.857842925001,5208.427880325,279957.53663125,112917.08837,281.60614024999995,413.09014652499997,1436.9079435999997,246.908797675
2024-03-01 03:30:00+01:00,686.1721738250001,1310.825923475,110.554064025,1739.693307975,54807.1919415,14825.7210109,5525.46268875,277067.5448925,112917.08837,337.9273683,495.70817585,2873.6682723,164.74418935
2024-03-01 03:45:00+01:00,617.5549565875,1704.0737005625,128.9797413625,1362.5774489125001,54807.1919415,15283.584178874997,5842.497497175001,274177.55315375,112917.08837,394.24859635,578.326205175,4310.428601,82.57958102500001
2024-03-01 04:00:00+01:00,548.9377393499999,2097.32147765,147.40541869999998,985.46158985,54807.1919415,15741.447346849998,6159.532305600001,271287.561415,112917.08837,450.5698244,660.9442345,5747.1889297,0.41497269999999997
2024-03-01 04:15:00+01:00,823.4066089124999,5965.494009862501,151.09055421250002,978.6874605125,54807.1919415,17955.6598047625,7090.752345075,276053.46936375,112917.08837,461.83407003750006,677.46784045,4848.049807525,160.95666427499998
2024-03-01 04:30:00+01:00,1097.875478475,9833.666542075001,154.775689725,971.913331175,54807.1919415,20169.872262675002,8021.97238455,280819.37731250003,112917.08837,473.09831567500004,693.9914464,3948.9106853499998,321.49835585000005
2024-03-01 04:45:00+01:00,1372.3443480375,13701.839074287502,158.4608252375,965.1392018375,54807.1919415,22384.0847205875,8953.192424025001,285585.28526125,112917.08837,484.3625613125,710.5150523499999,3049.7715631749998,482.040047425
2024-03-01 05:00:00+01:00,1646.8132176,17570.0116065,162.14596075,958.3650725,54807.1919415,24598.2971785,9884.412463499999,290351.19321,112917.08837,495.62680695000006,727.0386583,2150.632441,642.581739
2024-03-01 05:15:00+01:00,2195.7509565875,50074.53307987501,246.9040763875,2091.201870925,54807.1919415,23585.103020124996,14645.454832125,293495.34067875,112917.08837,754.704456175,1107.0815931749999,2076.5059549625003,1762.1201095249999
2024-03-01 05:30:00+01:00,2744.688695575,82579.05455325001,331.66219202499997,3224.0386693500004,54807.1919415,22571.908861750002,19406.49720075,296639.48814750003,112917.08837,1013.7821054000001,1487.12452805,2002.379468925,2881.65848005
2024-03-01 05:45:00+01:00,3293.6264345625,115083.57602662501,416.4203076625,4356.875467775,54807.1919415,21558.714703375,24167.539569375003,299783.63561625,112917.08837,1272.8597546249998,1867.1674629249999,1928.2529828875,4001.196850575
2024-03-01 06:00:00+01:00,3842.5641735500003,147588.0975,501.1784233,5489.7122662,54807.1919415,20545.520545,28928.581938,302927.783085,112917.08837,1531.93740385,2247.2103978,1854.12649685,5120.735221100001
2024-03-01 06:15:00+01:00,6450.0184330375005,187120.62360875,630.1581645,9795.586288275,54807.1919415,20545.520545,36446.831504999995,292938.6452625,112917.08837,1926.1860005874998,2825.5366030875,1476.618202175,13253.339208075
2024-03-01 06:30:00+01:00,9057.472692525,226653.1497175,759.1379056999999,14101.460310350001,54807.1919415,20545.520545,43965.081072,282949.50744,112917.08837,2320.4345973249997,3403.862808375,1099.1099075000002,21385.94319505
